#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
15,Australia,"10,309,104","2,029","15,475",8,"10,216,900",,"76,729",37,"393,836",591,"78,835,048","3,011,712","26,176,156",Australia/Oceania,"316,920",78,0.3,"2,931",,
16,Argentina,"9,713,594",,"129,958",,"9,576,540",640,"7,096",279,"210,508","2,816","35,716,069","774,019","46,143,638",South America,53551,,,154,,
17,Netherlands,"8,476,062",,"22,721",,"8,379,954",,"73,387",39,"492,179","1,319","21,107,399","1,225,643","17,221,490",Europe,27581,,,"4,261",,
18,Iran,"7,554,006",397,"144,516",6,"7,328,944",186,"80,546",113,"87,380","1,672","54,095,556","625,741","86,450,371",Asia,115982,5,0.07,932,,
19,Taiwan,"7,142,371","43,463","11,843",77,"6,238,243","38,858","892,285",,"298,653",495,"26,994,781","1,128,768","23,915,257",Asia,"320,191","1,817",3,"37,310",,
20,Mexico,"7,101,979","1,093","330,273",19,"6,374,080","1,048","397,626","4,798","53,791","2,502","18,492,768","140,066","132,028,927",North America,194007,8,0.1,"3,012",,
21,Indonesia,"6,455,542","1,678","158,301",20,"6,279,980","1,867","17,261","2,771","23,044",565,"109,575,332","391,153","280,134,469",Asia,"4,317,703",6,0.07,62,,
22,Poland,"6,326,445","1,593","117,900",31,"5,335,940",,"872,605","3,650","167,579","3,123","37,521,629","993,900","37,751,933",Europe,63201,42,0.8,"23,114",,
23,Colombia,"6,308,558",,"141,820",,"6,136,591",,"30,147",342,"121,033","2,721","36,654,229","703,232","52,122,496",South America,83681,,,578,,
24,Portugal,"5,509,424",,"25,125",,"5,430,047",,"54,252",61,"543,936","2,481","45,059,939","4,448,690","10,128,810",Europe,24030,,,"5,356",,
25,Austria,"5,331,881","11,786","20,926",5,"5,175,669","15,611","135,286",47,"584,391","2,294","198,972,158","21,807,971","9,123,827",Europe,24360,"1,292",0.5,"14,828",,
26,Ukraine,"5,177,217",,"109,206",,"5,049,094","6,305","18,917",177,"120,027","2,532","19,521,252","452,574","43,133,868",Europe,83952,,,439,,
27,Greece,"5,026,494",,"33,313",,"4,941,754","7,840","51,427",115,"487,687","3,232","95,536,498","9,269,268","10,306,801",Europe,23090,,,"4,990",,
28,Malaysia,"4,865,480","2,023","36,415",,"4,805,184","1,699","23,881",33,"146,050","1,093","64,929,445","1,949,020","33,313,897",Asia,79151,61,,717,,
29,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,309",3,,,"26,036,957",Asia,"5,351,851",,,,,
30,Thailand,"4,685,047",,"32,829",,"4,647,275",,"4,943","1,496","66,738",468,"17,270,775","246,022","70,200,133",Asia,"1,521,384",,,70,,
